name,lat,lon
NA,50.2267572,18.9551435
NA,50.2267574,18.9550793
NA,50.2267576,18.9551403
NA,50.2267577,18.9550825
NA,50.2267579,18.9551371
NA,50.226758,18.9550857
NA,50.2267582,18.9551339
NA,50.2267583,18.9550889
NA,50.2267584,18.9551307
NA,50.2267585,18.9550921
NA,50.2267586,18.9551275
NA,50.2267587,18.9550953
NA,50.2267588,18.9551243
NA,50.2267589,18.9550985
NA,50.2267589,18.9551211
NA,50.226759,18.9551017
NA,50.226759,18.9551179
NA,50.2267591,18.955105
NA,50.2267591,18.9551082
NA,50.2267591,18.9551114
NA,50.2267591,18.9551146
NA,50.2267607,18.9551934
NA,50.2271347,18.9537291
NA,50.2271355,18.9537367
NA,50.2271372,18.9537433
NA,50.22714,18.9537486
NA,50.2271446,18.953753
NA,50.2271457,18.9535013
NA,50.2271486,18.9537539
NA,50.2271529,18.9537545
NA,50.2271536,18.9537429
NA,50.2271684,18.9537558
NA,50.2271687,18.9537469
NA,50.2271718,18.9537562
NA,50.2271721,18.9537478
NA,50.2271819,18.9537508
NA,50.227182,18.9537564
NA,50.2271877,18.9537563
NA,50.2272013,18.9535161
NA,50.2272016,18.9535086
NA,50.2272383,18.9537696
NA,50.2272413,18.9537704
NA,50.2272658,18.9535259
NA,50.2272674,18.9535123
NA,50.227283,18.9537814
NA,50.2272947,18.9536784
NA,50.2272987,18.9536452
NA,50.2273116,18.9536554
NA,50.2273122,18.9536485
NA,50.2273132,18.9535944
NA,50.2273154,18.9536564
NA,50.2273173,18.9535529
NA,50.2273199,18.9535266
NA,50.227322,18.9535968
NA,50.2269176,18.9597858
NA,50.2269308,18.9597513
NA,50.2058792,18.9904291
NA,50.2062274,18.9902888
NA,50.206232,18.9903938
NA,50.2058505,18.9898269
NA,50.2058566,18.989973
NA,50.2058578,18.9898067
NA,50.2058825,18.9897985
NA,50.2060783,18.9897346
NA,50.2061803,18.9897087
NA,50.2062022,18.9897302
NA,50.2062187,18.9900729
NA,50.2101345,18.9984209
NA,50.210259,18.9978513
NA,50.2103163,18.997585
NA,50.2103936,18.9973167
NA,50.2100403,18.9988073
NA,50.210273,18.9977864
NA,50.20985,19.004387
NA,50.2100704,18.9994956
NA,50.2099372,18.9995241
NA,50.2099482,18.9996067
NA,50.2100217,18.9994968
